"agep","schg","esr","puma","serialno"
20,,"6","11615","2013000203925"
20,,"6","11615","2013000047506"
24,,"3","11615","2013000067168"
23,,"6","11615","2013000179407"
22,,"3","11615","2013000220663"
22,,"6","11615","2013000705042"
24,,"3","11615","2013000564016"
19,,"6","11615","2013000639993"
20,,"6","11615","2013000705042"
19,,"6","11615","2013000786724"
23,,"3","11615","2014000312040"
21,,"3","11615","2013001059963"
23,,"6","11615","2013001272099"
22,,"3","11615","2013001096015"
23,,"3","11615","2013001310974"
24,,"3","11615","2014000329012"
22,,"3","11615","2014000329012"
22,,"3","11615","2014000664375"
23,,"6","11615","2014000565093"
21,,"6","11615","2014000506104"
19,,"6","11615","2014000633565"
19,,"6","11615","2014001250406"
20,,"6","11615","2014000669756"
19,,"6","11615","2014000758547"
20,,"6","11615","2014000992946"
21,,"6","11615","2015000556693"
19,,"3","11615","2014001346221"
21,,"6","11615","2014001380791"
22,,"6","11615","2014001392784"
19,,"3","11615","2014001411193"
20,,"6","11615","2015000435546"
24,,"3","11615","2015000488282"
23,,"3","11615","2015000122393"
22,,"6","11615","2015000501937"
24,,"3","11615","2016000183114"
16,,"6","11615","2015000650843"
23,,"3","11615","2015000691577"
24,,"3","11615","2015001265411"
24,,"6","11615","2015000825470"
19,,"6","11615","2016000949174"
24,,"3","11615","2016000650677"
18,,"6","11615","2016000686647"
22,,"6","11615","2017000908520"
18,,"6","11615","2016001183818"
20,,"3","11615","2017000106825"
20,,"6","11615","2017000108454"
24,,"6","11615","2017000251936"
19,,"6","11615","2016001260378"
21,,"3","11615","2017000004988"
21,,"6","11615","2017000014627"
22,,"3","11615","2017000826205"
20,,"6","11615","2017001219485"
19,,"3","11615","2017000933828"
24,,"6","11615","2017001325124"
