"agep","schg","esr","puma","schl"
22,,"6","11612","19"
23,,"6","11614","19"
23,,"6","11612","19"
22,,"6","11604","19"
20,,"6","11613","19"
23,,"6","11612","18"
21,,"6","11610","19"
19,,"6","11610","19"
24,,"6","11613","18"
22,,"3","11613","19"
21,,"6","11604","19"
24,,"6","11604","19"
21,,"6","11604","18"
19,,"6","11611","18"
21,,"6","11614","19"
24,,"3","11613","18"
24,,"6","11613","18"
23,,"6","11613","18"
20,,"3","11613","19"
22,,"6","11611","19"
24,,"3","11614","18"
20,,"6","11612","19"
24,,"6","11611","19"
24,,"3","11604","19"
18,,"6","11604","19"
21,,"3","11612","19"
24,,"6","11611","18"
20,,"6","11613","19"
18,,"6","11612","19"
23,,"3","11612","18"
18,,"3","11610","18"
24,,"6","11611","18"
23,,"6","11612","19"
22,,"3","11613","19"
20,,"6","11614","18"
24,,"6","11610","19"
22,,"6","11612","18"
23,,"3","11613","18"
22,,"6","11611","18"
20,,"6","11610","18"
24,,"6","11610","18"
22,,"3","11610","18"
19,,"6","11613","19"
22,,"3","11613","18"
22,,"3","11613","18"
23,,"3","11611","19"
24,,"3","11614","18"
23,,"6","11611","18"
22,,"3","11610","18"
22,,"6","11614","19"
19,,"3","11614","19"
21,,"6","11604","19"
21,,"6","11611","19"
24,,"6","11611","18"
24,,"3","11613","18"
