"agep","schg","esr","puma","schl"
23,,"6","11611","20"
22,,"6","11604","21"
23,,"6","11613","21"
23,,"6","11610","21"
24,,"6","11610","21"
22,,"6","11604","21"
23,,"6","11604","21"
24,,"3","11610","21"
21,,"6","11613","20"
24,,"6","11614","21"
23,,"3","11612","20"
24,,"3","11612","21"
24,,"3","11604","21"
24,,"6","11614","22"
20,,"6","11611","21"
24,,"3","11611","21"
21,,"6","11611","20"
23,,"3","11613","21"
20,,"6","11604","23"
21,,"3","11604","21"
24,,"6","11614","21"
24,,"6","11604","21"
23,,"6","11610","20"
23,,"6","11613","20"
