"agep","schg","esr","puma","schl"
22,,"3","11610","17"
22,,"3","11610","16"
24,,"3","11604","17"
22,,"6","11612","17"
22,,"6","11614","17"
22,,"6","11613","17"
22,,"3","11612","16"
23,,"6","11611","16"
23,,"6","11604","16"
24,,"6","11612","16"
23,,"6","11611","17"
23,,"3","11611","17"
22,,"3","11614","17"
23,,"6","11611","16"
23,,"6","11611","16"
24,,"6","11614","17"
23,,"3","11612","16"
23,,"3","11612","16"
22,,"6","11612","16"
23,,"6","11612","16"
24,,"3","11611","16"
24,,"6","11612","16"
23,,"3","11613","16"
24,,"6","11613","16"
22,,"3","11612","16"
23,,"6","11614","17"
22,,"6","11610","17"
22,,"6","11611","16"
24,,"6","11611","16"
22,,"6","11613","17"
23,,"6","11611","16"
22,,"3","11612","16"
24,,"3","11611","16"
24,,"3","11612","16"
22,,"6","11614","16"
22,,"6","11613","16"
24,,"6","11611","16"
22,,"6","11614","16"
23,,"6","11610","16"
22,,"3","11614","16"
23,,"6","11610","16"
24,,"6","11612","16"
22,,"3","11612","16"
22,,"6","11614","16"
23,,"6","11612","16"
22,,"3","11613","16"
23,,"6","11612","16"
22,,"3","11612","17"
23,,"6","11613","16"
22,,"6","11611","17"
24,,"3","11614","16"
23,,"3","11612","16"
24,,"6","11613","16"
22,,"3","11611","16"
23,,"6","11613","16"
22,,"6","11614","16"
24,,"6","11610","16"
22,,"6","11614","16"
22,,"6","11610","16"
23,,"3","11614","16"
23,,"6","11610","17"
22,,"3","11613","16"
23,,"6","11614","17"
24,,"3","11614","16"
22,,"6","11610","16"
23,,"3","11614","17"
22,,"3","11612","16"
23,,"6","11614","16"
24,,"6","11614","16"
24,,"6","11614","17"
23,,"6","11614","16"
24,,"6","11613","16"
22,,"3","11610","16"
