"ca01","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns14","cns15","cns16","cns17","cns18","cns19","cns20"
54,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,82,0,0
83,0,0,0,1,0,0,0,4,0,0,0,0,0,356,0,0,0,0,0
72,385,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0
87,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,6,0,0
144,40,0,0,0,497,0,4,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,34,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,3,0,0,296,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,0,0,0
99,458,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0
55,0,0,0,13,0,0,34,0,0,0,0,2,0,0,9,59,0,3,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,61,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
181,0,0,0,0,0,0,393,0,0,0,0,0,0,0,9,0,0,0,0
93,0,0,0,0,0,0,324,0,0,0,0,67,0,0,2,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
101,0,0,0,0,0,0,108,0,0,0,1,0,0,0,0,0,83,3,0
45,0,0,0,0,0,0,8,0,0,0,0,0,0,0,147,0,0,0,0
36,0,0,0,14,0,9,1,0,0,0,0,3,0,0,0,0,49,0,0
34,0,0,0,0,0,0,0,0,0,0,0,7,0,566,2,0,0,0,7
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0
35,0,0,0,0,121,0,0,0,0,0,1,0,0,0,0,0,0,3,0
35,0,0,0,0,0,0,9,0,0,0,12,0,0,0,19,0,29,0,0
44,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,81,2,0
83,0,0,0,0,0,0,0,0,1,3,0,20,0,0,54,0,149,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0
101,0,0,0,0,0,0,0,0,0,0,5,1365,0,0,0,0,0,0,0
34,0,0,0,23,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0
112,0,0,1495,0,1,7,0,0,0,0,0,39,0,0,0,0,0,16,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0
51,0,0,0,0,526,8,0,6,0,0,0,16,0,0,0,0,5,0,0
96,0,0,0,54,7,184,0,26,4,0,0,61,0,0,0,0,5,28,0
43,0,0,0,114,0,0,0,0,0,0,0,193,0,1,0,0,0,0,0
54,0,0,0,92,8,0,0,0,0,0,0,94,0,8,0,0,33,0,0
117,0,0,0,16,660,0,6,39,0,0,2,40,0,0,19,0,0,0,0
69,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,5,0,0,0,86,0,0,0,0,0,68,0,0,0,0,0,0,0
32,0,0,0,24,6,0,4,28,0,0,0,81,0,0,0,0,1,0,0
114,0,0,0,0,0,0,0,22,0,16,0,98,0,0,16,199,0,5,8
373,0,0,0,0,0,0,0,0,0,0,0,3585,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
85,0,3,0,1128,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0
138,0,0,0,6,36,0,167,0,0,0,11,0,0,0,75,0,64,29,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,4,0,0,0,0
61,0,0,0,0,5,0,28,0,0,0,0,7,0,0,151,0,15,0,0
65,0,0,0,0,0,0,39,0,0,4,3,23,0,0,55,0,61,7,0
153,0,0,0,40,5,0,74,7,0,0,0,47,0,0,11,11,163,27,0
60,0,0,0,0,0,0,0,0,0,5,8,66,22,0,0,0,63,7,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,117,0,0
43,0,0,0,0,0,0,0,0,0,16,0,82,0,67,93,36,0,9,0
54,0,0,0,0,0,0,13,0,0,0,0,8,0,0,0,0,57,0,0
745,0,0,0,10,0,0,12,0,0,0,0,1,0,0,3387,0,0,0,0
175,0,0,0,0,0,0,102,0,0,213,0,293,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,11
54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,642
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0
35,0,0,0,0,0,0,40,0,0,0,0,0,0,0,35,14,4,0,0
39,0,0,0,5,0,0,0,0,0,85,0,12,0,0,34,0,30,0,0
54,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,54,25,0
52,0,0,0,0,0,2,0,0,0,1,0,68,0,0,0,0,0,0,0
53,0,0,0,4,0,0,29,0,0,4,0,0,0,0,0,0,43,110,0
36,0,0,0,34,0,0,28,0,0,0,0,0,0,0,0,105,0,0,0
138,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,73,15,0
88,0,0,0,0,0,0,59,0,0,4,3,0,0,0,67,23,24,60,0
34,0,0,0,2,0,0,3,0,0,0,0,18,0,0,91,0,0,0,0
35,0,0,0,0,0,0,8,0,4,0,4,31,0,0,5,0,79,0,0
227,0,0,0,0,0,5,234,0,0,33,0,25,1,0,0,39,247,17,0
73,0,0,0,0,0,0,0,0,0,1,0,7,0,5,234,0,40,0,28
47,0,0,0,0,13,0,83,0,0,0,0,0,0,0,3,0,16,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
34,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
299,0,0,0,0,0,0,220,0,0,8,0,6,0,0,0,0,228,23,0
54,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,78,5,0
254,0,0,0,0,0,0,555,0,0,0,0,44,0,0,35,0,90,3,0
176,0,0,0,0,0,0,127,0,0,5,0,1,0,0,0,191,67,0,0
82,141,0,0,129,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,88,0,0,0,0,0,0,0,38,0,20,0,0
67,0,0,0,7,0,0,7,0,0,3,0,12,0,0,19,0,71,14,0
35,0,0,0,2,1,0,60,0,0,0,0,0,0,0,4,0,0,4,0
99,0,0,0,48,20,0,3,322,0,0,0,0,0,0,2,0,31,85,0
167,0,0,0,6,0,29,163,0,0,3,1,21,3,15,328,0,94,3,0
54,0,0,0,29,0,0,0,0,0,43,1,48,0,0,159,0,0,8,0
36,0,0,0,0,0,0,9,0,0,0,0,0,0,55,0,0,0,0,0
37,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,22,0,3,14,0,0,1,0,38,0,0,0,7,15,8,0
47,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,2,11,14,0,7,18,6,0,0,0,10,0,223,18,0
165,0,0,0,0,0,1,466,0,0,0,0,48,0,0,4,0,82,7,0
139,14,0,0,28,3,103,0,0,6,25,10,13,285,25,57,0,65,0,0
43,0,0,0,0,41,0,0,0,0,90,1,28,0,0,10,0,0,0,0
70,0,0,0,0,0,0,30,0,0,0,0,8,0,0,0,0,91,0,0
250,0,0,0,23,0,20,44,6,0,27,57,22,34,40,218,30,146,47,0
585,0,0,0,0,0,0,861,0,19,5,50,0,0,0,1,7,165,44,0
73,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,148,5,0
99,0,0,0,0,0,0,7,0,0,20,11,119,0,0,32,0,77,46,0
238,0,0,0,0,7,31,104,0,0,13,1,16,0,0,49,32,192,6,0
91,0,0,0,0,0,2,133,0,0,0,0,0,0,0,1,0,10,0,0
95,0,0,0,2,0,8,2,0,0,9,0,1,0,0,207,0,0,0,28
191,0,0,0,17,0,0,0,0,0,283,10,1,0,19,34,0,45,0,0
36,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,78,0,0,0
103,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,173,6,0
43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69,2,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,0
135,3,0,0,17,9,0,93,0,0,20,3,29,0,1,38,0,89,6,0
157,0,0,0,0,0,0,4,0,1,32,0,2,0,0,0,0,0,0,0
47,0,0,0,135,5,4,17,0,18,0,0,0,0,0,0,0,19,10,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,4,0,0
84,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,163,0,13,0
46,0,0,0,4,0,0,125,0,0,0,0,20,0,0,0,0,0,3,0
168,0,0,0,0,0,0,143,0,0,9,0,0,0,22,10,0,125,0,0
619,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,150,0,0
227,0,0,0,8,0,0,310,0,2,83,0,7,0,0,22,0,82,5,0
151,0,0,0,40,49,10,32,125,0,61,37,15,0,0,339,0,13,5,0
67,0,0,0,160,0,11,0,30,0,0,2,0,0,0,6,0,0,0,0
100,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,36,2,0
97,0,0,0,17,0,0,5,0,0,5,44,21,0,11,400,0,0,17,0
61,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,25,0,0,23,17,10,0,0
94,0,0,0,0,0,0,84,0,18,0,0,2,0,0,3,0,98,16,0
359,1,0,0,89,104,33,40,0,13,17,0,30,84,0,248,1,74,118,0
110,0,0,0,44,0,6,71,0,0,34,29,0,1,0,0,0,96,4,0
72,0,0,0,0,47,128,0,0,0,0,0,37,28,0,57,0,0,35,0
69,0,0,0,36,0,0,0,0,0,0,153,0,0,0,0,0,0,6,0
49,0,0,0,7,0,4,104,0,0,11,2,0,0,16,0,0,12,11,0
75,0,0,0,4,0,0,172,0,19,0,13,12,0,0,8,0,0,0,0
48,0,0,0,3,2,0,37,21,0,16,37,13,0,0,23,0,14,0,0
84,110,0,0,24,0,7,26,4,0,75,0,0,0,1,23,0,5,0,0
32,0,0,0,0,0,0,0,0,0,29,2,12,0,0,0,0,0,15,0
92,0,0,0,0,0,0,9,0,0,0,0,0,0,5,47,0,0,13,0
43,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,41,45,0
64,0,0,0,10,0,0,38,0,0,0,11,69,0,0,0,0,8,21,0
86,0,0,0,12,2,5,47,46,16,11,16,33,0,0,73,3,4,5,0
144,0,0,0,0,0,0,0,0,0,0,0,8,0,0,281,0,34,18,0
75,0,0,51,134,0,6,82,0,0,28,0,1,0,0,7,3,0,35,0
82,0,0,0,0,0,0,45,0,2,0,0,0,0,0,0,0,100,3,0
41,0,0,0,0,0,0,0,0,0,47,0,0,0,4,1,128,10,0,0
32,0,0,0,12,0,0,5,0,0,4,0,0,0,0,4,0,49,0,0
122,0,0,0,6,0,4,41,0,41,38,0,22,0,0,87,0,22,5,29
37,0,0,0,3,0,16,2,0,0,0,0,0,0,0,91,0,12,5,0
137,0,0,0,0,0,0,181,0,0,9,0,2,0,0,9,0,110,10,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,3,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0
108,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,5,0
45,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,0,37,17,0
36,0,0,0,0,0,0,35,0,6,0,0,0,0,0,0,0,0,1,0
59,0,0,0,0,0,0,28,0,0,10,0,0,0,0,0,0,88,5,0
119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,173,0,0
181,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,7,0
41,0,0,0,1,0,0,111,0,0,2,0,3,0,0,0,0,1,0,0
55,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,58,0,0,0,0,3233,0,0,1,0,365
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0
108,0,0,0,0,0,0,23,0,0,0,0,0,0,0,527,0,0,0,0
114,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,191,0,0,28,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,1,84,19,0,0,0,48,0,0,0,0,0,5,0,0
31,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,88,0,0
61,0,0,0,14,0,0,4,0,0,0,0,1,0,0,138,0,16,0,0
33,0,0,72,0,0,0,22,0,0,0,0,41,0,0,30,0,0,0,18
89,0,0,0,43,0,0,61,0,0,25,0,2,0,0,0,0,10,8,0
54,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,0,0,0,5,0,0,0,49,11,22,0,123,0,0,71,28,98,0,69
104,0,0,0,14,0,0,218,0,0,0,0,0,0,0,0,0,23,7,0
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,136,1,0
48,267,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
