"agep","schg","esr","puma","serialno"
21,"15","1","11604","2013000032483"
19,"15","1","11611","2013000040494"
21,"15","1","11612","2013000048962"
19,"15","1","11604","2013000164683"
19,"15","1","11612","2013000276086"
19,"15","1","11613","2013000178297"
19,"15","1","11614","2013000268539"
21,"15","1","11613","2013000248990"
19,"15","1","11613","2013000248990"
21,"15","1","11611","2013000487069"
20,"15","1","11604","2013000583906"
20,"15","1","11614","2013000545069"
20,"15","1","11613","2013000560056"
21,"15","1","11604","2013000500415"
21,"15","1","11610","2013000635505"
20,"15","1","11612","2013000604607"
19,"15","1","11614","2013000596337"
20,"15","1","11611","2013000611769"
21,"15","1","11612","2013000626204"
20,"12","1","11611","2013000739700"
21,"15","1","11614","2013000719076"
21,"15","1","11611","2013000733660"
21,"15","1","11611","2013000739791"
20,"15","1","11611","2013000739791"
20,"15","1","11613","2013000731640"
19,"15","1","11611","2013000844238"
19,"15","1","11610","2013000826191"
20,"15","1","11614","2013000760795"
21,"15","1","11604","2013001059135"
19,"15","1","11612","2013001016632"
21,"15","1","11604","2013001042642"
20,"15","1","11613","2013001046725"
19,"15","1","11604","2013000958429"
19,"15","1","11613","2013001084685"
20,"15","1","11604","2013001093269"
19,"15","1","11604","2013001123944"
19,"15","1","11610","2013001414705"
19,"15","1","11614","2013001231823"
19,"15","1","11613","2013001249665"
19,"15","1","11614","2013001389068"
20,"15","1","11610","2013001126827"
21,"15","1","11610","2013001168664"
19,"14","1","11611","2013001226151"
21,"15","1","11604","2013001251438"
19,"15","1","11614","2013001285213"
20,"15","1","11611","2013001313583"
20,"15","1","11611","2013001313583"
20,"15","1","11604","2014000520793"
21,"15","1","11612","2013001453254"
19,"15","1","11611","2014000176254"
21,"15","1","11610","2014000227452"
21,"15","1","11612","2014000251651"
21,"15","1","11604","2014000357394"
19,"14","1","11611","2014000495936"
19,"15","2","11604","2014000520793"
21,"15","1","11613","2013001425220"
20,"15","1","11614","2013001459401"
21,"15","1","11611","2014000026229"
19,"15","1","11604","2014000138892"
21,"15","1","11613","2014000223639"
20,"15","1","11613","2014000318752"
19,"15","1","11613","2014000376145"
19,"15","1","11611","2014000470710"
21,"15","1","11614","2014000480412"
