"agep","schg","esr","puma","serialno"
19,,"6","11604","2013000008875"
19,,"6","11611","2013000030421"
20,,"6","11613","2013000288017"
21,,"3","11611","2013000057563"
19,,"6","11610","2013000111689"
21,,"6","11610","2013000166503"
20,,"6","11613","2013000215337"
19,,"6","11612","2013000070516"
19,,"6","11614","2013000155051"
19,,"3","11604","2013000188706"
20,,"6","11613","2013000291567"
20,,"3","11614","2013000406245"
21,,"3","11612","2013000330366"
21,,"3","11612","2013000388196"
19,,"6","11614","2013000401839"
21,,"6","11604","2013000594659"
19,,"3","11610","2013000431365"
21,,"6","11610","2013000550228"
21,,"6","11610","2013000550228"
21,,"6","11610","2013000550228"
19,,"6","11610","2013000550228"
21,,"6","11611","2013000505276"
20,,"3","11611","2013000599234"
19,,"6","11611","2013000691997"
21,,"6","11604","2013000682127"
21,,"6","11611","2013000774620"
20,,"6","11614","2013000696675"
19,,"3","11610","2013000745367"
20,,"6","11611","2013000975708"
19,,"3","11614","2013000785361"
21,,"6","11614","2013000879280"
20,,"6","11604","2013000887259"
21,,"6","11611","2013000975708"
19,,"6","11604","2013001074721"
21,,"6","11611","2013001181286"
20,,"6","11613","2013001354034"
21,,"6","11611","2013001223279"
20,,"3","11613","2013001375902"
20,,"3","11614","2013001372017"
21,,"3","11614","2013001415749"
19,,"6","11611","2013001377167"
21,,"6","11614","2014000055158"
21,,"3","11614","2013001459401"
19,,"6","11614","2013001477675"
21,,"6","11614","2014000061360"
21,,"6","11611","2014000101484"
20,,"6","11612","2014000240322"
21,,"6","11613","2014000617176"
20,,"3","11613","2014000261570"
20,,"3","11612","2014000434014"
21,,"3","11611","2014000551252"
21,,"3","11612","2014000598099"
19,,"6","11612","2014000856804"
19,,"6","11613","2014000667066"
19,,"6","11611","2014000687777"
21,,"3","11610","2014000753355"
21,,"6","11612","2014000841313"
19,,"3","11614","2014000957129"
20,,"6","11614","2014000860955"
21,,"6","11613","2014001246805"
20,,"6","11613","2014000984550"
19,,"6","11613","2014000984550"
19,,"6","11604","2014001289709"
21,,"6","11613","2014001250241"
21,,"6","11611","2014001265336"
21,,"3","11614","2014001327292"
21,,"3","11614","2014001303503"
20,,"3","11612","2014001475081"
20,,"6","11613","2014001347998"
21,,"3","11610","2014001349122"
21,,"6","11604","2014001491732"
21,,"6","11613","2015000095262"
21,,"6","11611","2015000051573"
21,,"3","11610","2015000016530"
20,,"6","11614","2015000039634"
19,,"3","11613","2015000436785"
21,,"3","11610","2015000422539"
19,,"6","11613","2015000704508"
20,,"6","11614","2015000614394"
19,,"3","11612","2015000664648"
20,,"6","11604","2015000703702"
20,,"6","11613","2015000971675"
19,,"3","11614","2015000720456"
20,,"6","11613","2015000723829"
19,,"3","11604","2015000784141"
19,,"3","11613","2015001220225"
21,,"6","11613","2015001157462"
20,,"6","11610","2015001168092"
20,,"6","11613","2015001180162"
21,,"3","11614","2015001207071"
20,,"6","11610","2015001225136"
20,,"6","11614","2015001455204"
21,,"6","11611","2015001330173"
21,,"6","11613","2015001472001"
20,,"6","11611","2016000157740"
19,,"6","11612","2016000201076"
21,,"6","11611","2016000272709"
19,,"6","11613","2016000306531"
20,,"6","11613","2016000308319"
19,,"3","11613","2016001395474"
19,,"6","11611","2016000400510"
20,,"3","11614","2016000485790"
20,,"3","11613","2016000572078"
19,,"3","11614","2016000738115"
20,,"6","11610","2016000784805"
19,,"6","11610","2016000955693"
20,,"6","11614","2016001026659"
19,,"3","11614","2016001026659"
20,,"6","11614","2016001144392"
19,,"6","11613","2016001145659"
19,,"6","11604","2016000519781"
19,,"6","11614","2016001199018"
20,,"6","11604","2016001214313"
20,,"6","11604","2016001308028"
21,,"6","11611","2017000319171"
21,,"3","11604","2017000228609"
19,,"6","11611","2017000303528"
19,,"6","11613","2017000038036"
20,,"6","11614","2017000192893"
21,,"6","11612","2017000586985"
19,,"6","11612","2017000470800"
19,,"3","11611","2017000384030"
19,,"6","11611","2017000598123"
19,,"3","11612","2017000616102"
21,,"6","11612","2017000615844"
19,,"6","11613","2017000873120"
20,,"6","11612","2017000806771"
20,,"3","11612","2017000806771"
20,,"3","11611","2017000813384"
21,,"6","11613","2017001244336"
21,,"6","11611","2017000971543"
20,,"3","11611","2017001014999"
21,,"6","11604","2017000882461"
20,,"3","11610","2017000918811"
19,,"3","11614","2017001273508"
21,,"6","11613","2017001464049"
