"agep","schg","esr","puma","schl"
22,,"6","11612","19"
22,,"6","11604","19"
23,,"6","11612","19"
23,,"6","11612","18"
23,,"6","11614","19"
23,,"6","11613","14"
24,,"6","11613","11"
23,,"6","11611","15"
23,,"3","11604","14"
24,,"6","11613","18"
23,,"3","11611","13"
24,,"6","11604","19"
22,,"3","11613","19"
23,,"6","11611","14"
24,,"6","11604","15"
22,,"6","11611","19"
24,,"3","11613","18"
24,,"6","11611","09"
24,,"3","11614","18"
23,,"6","11613","01"
24,,"6","11613","18"
24,,"6","11611","19"
23,,"6","11613","18"
24,,"6","11611","15"
24,,"3","11614","13"
22,,"3","11613","11"
24,,"3","11604","19"
23,,"3","11611","11"
23,,"6","11613","13"
22,,"6","11614","01"
24,,"6","11611","18"
22,,"6","11612","15"
24,,"6","11610","15"
23,,"3","11612","18"
23,,"6","11614","15"
23,,"6","11612","19"
23,,"6","11611","08"
24,,"3","11614","14"
23,,"6","11614","11"
23,,"6","11604","14"
22,,"3","11613","19"
24,,"6","11612","13"
22,,"6","11613","12"
24,,"6","11610","19"
22,,"6","11614","14"
23,,"3","11613","18"
23,,"6","11611","14"
24,,"6","11611","18"
22,,"6","11611","18"
24,,"6","11614","01"
22,,"6","11612","18"
24,,"6","11604","01"
23,,"6","11613","01"
22,,"6","11611","13"
23,,"6","11610","13"
24,,"6","11610","18"
24,,"3","11611","14"
22,,"6","11610","15"
22,,"6","11611","13"
24,,"6","11611","13"
22,,"6","11614","11"
22,,"3","11613","18"
24,,"3","11614","11"
22,,"3","11614","11"
24,,"6","11612","12"
23,,"6","11613","06"
22,,"3","11610","18"
22,,"3","11613","18"
24,,"3","11614","18"
23,,"3","11611","19"
24,,"3","11613","18"
22,,"3","11610","18"
22,,"6","11614","19"
23,,"6","11611","18"
24,,"6","11611","18"
23,,"6","11610","06"
22,,"6","11610","05"
23,,"6","11613","14"
22,,"3","11611","15"
24,,"6","11614","13"
24,,"6","11612","15"
