"agep","schg","esr","puma","schl"
22,,"6","11612","19"
17,,"6","11614","13"
23,,"6","11613","14"
18,,"3","11613","13"
23,,"6","11614","19"
18,,"6","11611","15"
23,,"6","11612","19"
19,,"3","11604","01"
21,,"6","11610","10"
19,,"6","11614","14"
16,,"6","11613","15"
17,,"6","11613","13"
20,,"6","11613","19"
24,,"6","11613","11"
20,,"6","11613","13"
21,,"6","11611","01"
23,,"6","11612","18"
18,,"3","11611","13"
22,,"6","11604","19"
20,,"3","11614","14"
21,,"6","11610","19"
23,,"3","11604","14"
19,,"6","11610","19"
23,,"6","11611","15"
24,,"6","11604","19"
21,,"6","11604","18"
16,,"6","11604","14"
23,,"3","11611","13"
24,,"6","11613","18"
21,,"6","11604","19"
23,,"6","11611","14"
21,,"6","11611","01"
19,,"3","11614","15"
22,,"6","11611","19"
24,,"6","11604","15"
17,,"6","11614","01"
22,,"3","11613","19"
21,,"6","11614","19"
20,,"6","11604","15"
24,,"3","11613","18"
21,,"6","11611","01"
24,,"6","11611","09"
21,,"6","11611","10"
24,,"6","11613","18"
24,,"3","11614","18"
23,,"6","11613","01"
19,,"6","11611","18"
23,,"6","11613","18"
20,,"6","11613","15"
18,,"6","11611","01"
20,,"3","11613","19"
24,,"3","11614","13"
24,,"6","11611","15"
24,,"6","11611","19"
21,,"3","11614","13"
16,,"6","11614","12"
21,,"3","11614","15"
18,,"6","11610","13"
18,,"3","11613","01"
20,,"3","11613","14"
24,,"3","11604","19"
20,,"6","11612","19"
20,,"3","11612","15"
22,,"3","11613","11"
18,,"6","11610","13"
16,,"6","11614","12"
18,,"6","11604","19"
22,,"6","11614","01"
21,,"3","11612","19"
21,,"6","11613","15"
19,,"6","11611","14"
23,,"3","11611","11"
16,,"6","11614","12"
16,,"6","11613","12"
20,,"6","11614","15"
18,,"6","11610","01"
23,,"6","11613","13"
19,,"3","11614","13"
18,,"3","11610","18"
22,,"6","11612","15"
24,,"6","11611","18"
21,,"6","11613","15"
21,,"6","11613","15"
18,,"3","11614","12"
21,,"3","11614","13"
21,,"3","11614","01"
20,,"6","11613","19"
18,,"6","11612","19"
23,,"6","11614","15"
20,,"3","11612","15"
23,,"6","11611","08"
23,,"3","11612","18"
23,,"6","11612","19"
22,,"3","11613","19"
18,,"3","11613","15"
24,,"6","11610","15"
23,,"6","11614","11"
20,,"6","11614","18"
19,,"6","11613","13"
24,,"6","11612","13"
23,,"6","11604","14"
22,,"6","11613","12"
22,,"6","11611","18"
24,,"3","11614","14"
21,,"6","11613","08"
23,,"3","11613","18"
24,,"6","11614","01"
24,,"6","11610","19"
23,,"6","11611","14"
24,,"6","11611","18"
20,,"6","11613","11"
20,,"6","11610","14"
20,,"6","11613","12"
20,,"6","11610","18"
17,,"6","11614","14"
16,,"6","11614","13"
16,,"6","11612","12"
22,,"6","11614","14"
20,,"6","11614","14"
16,,"6","11614","13"
16,,"6","11612","12"
20,,"6","11613","13"
19,,"6","11613","14"
22,,"6","11612","18"
24,,"6","11604","01"
22,,"6","11611","13"
19,,"6","11611","15"
23,,"6","11613","01"
24,,"6","11610","18"
23,,"6","11610","13"
24,,"6","11612","12"
19,,"3","11614","14"
20,,"6","11610","01"
24,,"6","11611","13"
16,,"6","11610","14"
24,,"3","11611","14"
22,,"6","11611","13"
20,,"6","11614","15"
19,,"3","11614","15"
19,,"6","11614","14"
22,,"6","11614","11"
20,,"6","11614","12"
18,,"6","11614","13"
19,,"6","11613","14"
20,,"6","11604","15"
19,,"3","11613","14"
23,,"6","11613","06"
22,,"3","11610","18"
22,,"3","11613","18"
22,,"3","11613","18"
23,,"3","11611","19"
24,,"3","11614","11"
22,,"3","11614","11"
22,,"6","11610","15"
19,,"6","11613","19"
18,,"6","11610","12"
17,,"6","11612","13"
24,,"3","11614","18"
16,,"3","11614","13"
24,,"6","11611","18"
18,,"3","11614","14"
19,,"6","11611","12"
18,,"3","11612","15"
23,,"6","11611","18"
22,,"3","11610","18"
22,,"6","11614","19"
16,,"6","11612","12"
24,,"3","11613","18"
21,,"6","11604","19"
22,,"3","11611","15"
20,,"6","11612","15"
23,,"6","11610","06"
22,,"6","11610","05"
17,,"6","11612","14"
24,,"6","11612","15"
21,,"6","11611","19"
24,,"6","11614","13"
16,,"6","11611","01"
17,,"3","11611","14"
17,,"6","11612","13"
19,,"3","11614","19"
23,,"6","11613","14"
18,,"6","11613","11"
18,,"6","11613","11"
