"agep","schg","esr","puma","serialno"
21,,"3","11611","2013000057563"
19,,"6","11611","2013000030421"
20,,"6","11615","2013000047506"
22,,"6","11612","2013000048962"
24,,"3","11615","2013000067168"
17,,"6","11614","2013000058010"
22,,"3","11610","2013000059060"
18,,"3","11613","2013000100470"
19,,"6","11612","2013000070516"
23,,"6","11612","2013000128172"
18,,"6","11611","2013000121584"
23,,"6","11614","2013000106284"
19,,"6","11610","2013000111689"
23,,"6","11613","2013000118713"
17,,"6","11613","2013000204235"
19,,"6","11614","2013000155051"
21,,"6","11610","2013000166503"
23,,"6","11615","2013000179407"
20,,"6","11615","2013000203925"
23,,"6","11611","2013000242451"
20,,"6","11613","2013000215337"
22,,"3","11615","2013000220663"
20,,"6","11613","2013000291567"
24,,"6","11613","2013000251477"
20,,"6","11613","2013000288017"
22,,"6","11612","2013000352399"
16,,"6","11613","2013000303198"
23,,"6","11612","2013000318591"
21,,"3","11612","2013000330366"
18,,"6","11610","2013000413288"
18,,"3","11611","2013000360571"
19,,"6","11614","2013000401839"
20,,"3","11614","2013000406245"
22,,"6","11614","2013000406245"
21,,"3","11612","2013000388196"
19,,"3","11610","2013000431365"
22,,"3","11612","2013000464262"
23,,"6","11611","2013000475397"
21,,"6","11611","2013000505276"
24,,"6","11610","2013000697580"
21,,"6","11610","2013000550228"
21,,"6","11610","2013000550228"
21,,"6","11610","2013000550228"
19,,"6","11610","2013000550228"
23,,"6","11610","2013000558644"
20,,"3","11611","2013000599234"
19,,"6","11615","2013000639993"
19,,"6","11611","2013000691997"
24,,"3","11615","2013000564016"
24,,"6","11613","2013000584676"
23,,"3","11611","2013000640932"
20,,"6","11614","2013000696675"
19,,"3","11610","2013000745367"
22,,"6","11615","2013000705042"
20,,"6","11615","2013000705042"
23,,"6","11611","2013000766280"
19,,"3","11614","2013000785361"
21,,"6","11611","2013000774620"
19,,"6","11615","2013000786724"
21,,"6","11614","2013000879280"
23,,"6","11611","2013000795240"
22,,"3","11613","2013000798706"
24,,"6","11612","2013000941965"
17,,"6","11614","2013000916904"
22,,"6","11613","2013000926030"
