"agep","schg","esr","puma","serialno"
19,,"6","11604","2013000008875"
19,,"6","11611","2013000030421"
24,,"3","11615","2013000067168"
20,,"6","11615","2013000047506"
22,,"6","11612","2013000048962"
21,,"3","11611","2013000057563"
17,,"6","11614","2013000058010"
22,,"3","11610","2013000059060"
23,,"6","11615","2013000179407"
19,,"6","11612","2013000070516"
18,,"3","11613","2013000100470"
23,,"6","11614","2013000106284"
19,,"6","11610","2013000111689"
23,,"6","11613","2013000118713"
18,,"6","11611","2013000121584"
23,,"6","11612","2013000128172"
24,,"3","11604","2013000170853"
19,,"6","11614","2013000155051"
21,,"6","11610","2013000166503"
20,,"6","11615","2013000203925"
19,,"3","11604","2013000188706"
20,,"6","11613","2013000215337"
17,,"6","11613","2013000204235"
18,,"6","11604","2013000239259"
22,,"3","11615","2013000220663"
23,,"6","11611","2013000242451"
24,,"6","11613","2013000251477"
20,,"6","11613","2013000291567"
20,,"6","11613","2013000288017"
19,,"6","11614","2013000401839"
21,,"3","11612","2013000330366"
18,,"3","11611","2013000360571"
22,,"6","11604","2013000391871"
22,,"6","11604","2013000391871"
16,,"6","11613","2013000303198"
23,,"6","11612","2013000318591"
22,,"6","11612","2013000352399"
21,,"3","11612","2013000388196"
18,,"6","11610","2013000413288"
20,,"3","11614","2013000406245"
22,,"6","11614","2013000406245"
19,,"3","11610","2013000431365"
21,,"6","11611","2013000505276"
22,,"3","11612","2013000464262"
23,,"6","11611","2013000475397"
24,,"6","11604","2013000594659"
23,,"3","11604","2013000540451"
24,,"3","11615","2013000564016"
24,,"6","11613","2013000584676"
21,,"6","11610","2013000550228"
21,,"6","11610","2013000550228"
21,,"6","11610","2013000550228"
19,,"6","11610","2013000550228"
23,,"6","11610","2013000558644"
22,,"6","11604","2013000594659"
21,,"6","11604","2013000594659"
16,,"6","11604","2013000594659"
21,,"6","11604","2013000682127"
23,,"6","11604","2013000619844"
20,,"3","11611","2013000599234"
19,,"6","11615","2013000639993"
23,,"3","11611","2013000640932"
19,,"6","11611","2013000691997"
24,,"6","11610","2013000697580"
20,,"6","11614","2013000696675"
22,,"6","11615","2013000705042"
20,,"6","11615","2013000705042"
23,,"6","11611","2013000795240"
23,,"6","11611","2013000766280"
21,,"6","11611","2013000774620"
19,,"3","11614","2013000785361"
19,,"3","11610","2013000745367"
19,,"6","11615","2013000786724"
20,,"6","11604","2013000887259"
22,,"3","11613","2013000798706"
24,,"6","11604","2013000800696"
21,,"6","11614","2013000879280"
21,,"3","11615","2013001059963"
22,,"6","11613","2013000926030"
24,,"6","11612","2013000941965"
22,,"6","11611","2013000960556"
20,,"6","11611","2013000975708"
21,,"6","11611","2013000975708"
17,,"6","11614","2013000916904"
24,,"3","11613","2013000950917"
23,,"6","11611","2013000961902"
19,,"6","11604","2013001074721"
18,,"3","11611","2013001071031"
24,,"3","11614","2013001098476"
22,,"3","11615","2013001096015"
22,,"3","11610","2013001103945"
24,,"6","11611","2013001243929"
22,,"3","11614","2013001135127"
23,,"3","11611","2013001142649"
18,,"6","11611","2013001142649"
23,,"6","11613","2013001189997"
24,,"6","11613","2013001209877"
18,,"6","11610","2013001132107"
21,,"6","11611","2013001181286"
21,,"6","11611","2013001223279"
18,,"6","11611","2013001360924"
23,,"3","11615","2013001310974"
23,,"6","11613","2013001313727"
23,,"6","11615","2013001272099"
20,,"6","11613","2013001354034"
19,,"6","11611","2013001377167"
20,,"3","11614","2013001372017"
20,,"3","11613","2013001375902"
21,,"3","11614","2013001459401"
24,,"6","11611","2013001377167"
18,,"6","11611","2013001377167"
