"agep","schg","esr","puma","serialno"
24,"15","1","11604","2013000013052"
22,"15","1","11604","2013000013052"
21,"15","1","11604","2013000032483"
22,"15","1","11610","2013000037986"
19,"15","1","11611","2013000040494"
22,"15","1","11611","2013000044520"
21,"15","1","11612","2013000048962"
16,"12","1","11612","2013000068930"
22,"14","1","11611","2013000075342"
17,"14","1","11613","2013000163056"
23,"16","1","11610","2013000134646"
22,"15","1","11610","2013000149515"
18,"15","1","11614","2013000160429"
23,"14","1","11611","2013000140494"
23,"15","1","11613","2013000234060"
24,"15","1","11611","2013000170171"
23,"15","1","11611","2013000198469"
18,"15","1","11614","2013000205662"
19,"15","1","11604","2013000164683"
19,"15","1","11613","2013000178297"
23,"16","2","11604","2013000209631"
24,"15","1","11604","2013000209631"
18,"13","1","11612","2013000227410"
18,"13","1","11612","2013000227410"
21,"15","1","11613","2013000248990"
19,"15","1","11613","2013000248990"
19,"15","1","11612","2013000276086"
19,"15","1","11614","2013000268539"
22,"15","1","11614","2013000304251"
17,"13","1","11610","2013000330748"
24,"15","1","11614","2013000304251"
18,"15","1","11604","2013000398621"
18,"15","1","11612","2013000388196"
21,"15","1","11604","2013000500415"
22,"15","1","11610","2013000418695"
17,"15","1","11610","2013000418695"
16,"12","1","11614","2013000461080"
21,"15","1","11611","2013000487069"
20,"15","1","11613","2013000560056"
20,"15","1","11614","2013000545069"
22,"15","1","11613","2013000508190"
18,"15","1","11604","2013000521637"
20,"15","1","11604","2013000583906"
22,"15","1","11610","2013000575416"
16,"13","1","11611","2013000569005"
21,"15","1","11612","2013000626204"
23,"15","1","11611","2013000597773"
18,"15","1","11614","2013000596337"
19,"15","1","11614","2013000596337"
20,"15","1","11612","2013000604607"
20,"15","1","11611","2013000611769"
17,"14","1","11614","2013000673570"
21,"15","1","11610","2013000635505"
17,"13","1","11614","2013000672933"
23,"15","1","11611","2013000636637"
18,"14","1","11604","2013000658573"
23,"15","1","11613","2013000734294"
21,"15","1","11614","2013000719076"
24,"15","1","11604","2013000721442"
18,"15","2","11610","2013000730808"
20,"15","1","11613","2013000731640"
21,"15","1","11611","2013000733660"
17,"14","1","11611","2013000816031"
20,"12","1","11611","2013000739700"
17,"14","1","11610","2013000796912"
21,"15","1","11611","2013000739791"
20,"15","1","11611","2013000739791"
20,"15","1","11614","2013000760795"
23,"15","1","11610","2013000843783"
19,"15","1","11610","2013000826191"
24,"15","1","11604","2013000834844"
16,"13","1","11604","2013000838753"
17,"12","1","11610","2013000840158"
23,"15","1","11611","2013000837514"
23,"15","1","11611","2013000837514"
19,"15","1","11611","2013000844238"
16,"12","1","11611","2013000844238"
24,"15","1","11611","2013000933103"
22,"15","1","11613","2013000911273"
18,"14","1","11614","2013000915482"
24,"16","1","11611","2013000872960"
17,"13","1","11613","2013000895088"
18,"14","1","11614","2013000987072"
19,"15","1","11604","2013000958429"
18,"15","1","11610","2013000987293"
19,"15","1","11612","2013001016632"
22,"15","1","11611","2013001079411"
22,"15","1","11604","2013001025529"
22,"15","1","11604","2013001025529"
21,"15","1","11604","2013001042642"
