"agep","schg","esr","puma","serialno"
19,,"6","11611","2013000030421"
19,,"6","11604","2013000008875"
19,,"6","11612","2013000070516"
22,,"6","11612","2013000048962"
17,,"6","11614","2013000058010"
22,,"3","11610","2013000059060"
21,,"3","11611","2013000057563"
19,,"6","11610","2013000111689"
18,,"3","11613","2013000100470"
23,,"6","11614","2013000106284"
21,,"6","11610","2013000166503"
23,,"6","11613","2013000118713"
18,,"6","11611","2013000121584"
23,,"6","11612","2013000128172"
19,,"6","11614","2013000155051"
19,,"3","11604","2013000188706"
24,,"3","11604","2013000170853"
20,,"6","11613","2013000215337"
17,,"6","11613","2013000204235"
23,,"6","11611","2013000242451"
18,,"6","11604","2013000239259"
24,,"6","11613","2013000251477"
21,,"3","11612","2013000330366"
20,,"6","11613","2013000291567"
16,,"6","11613","2013000303198"
23,,"6","11612","2013000318591"
20,,"6","11613","2013000288017"
18,,"3","11611","2013000360571"
22,,"6","11612","2013000352399"
19,,"3","11610","2013000431365"
22,,"6","11604","2013000391871"
22,,"6","11604","2013000391871"
19,,"6","11614","2013000401839"
21,,"3","11612","2013000388196"
20,,"3","11614","2013000406245"
22,,"6","11614","2013000406245"
18,,"6","11610","2013000413288"
23,,"6","11610","2013000558644"
22,,"3","11612","2013000464262"
23,,"6","11611","2013000475397"
21,,"6","11611","2013000505276"
23,,"3","11604","2013000540451"
21,,"6","11610","2013000550228"
21,,"6","11610","2013000550228"
21,,"6","11610","2013000550228"
19,,"6","11610","2013000550228"
24,,"6","11613","2013000584676"
24,,"6","11610","2013000697580"
21,,"6","11604","2013000682127"
24,,"6","11604","2013000594659"
22,,"6","11604","2013000594659"
21,,"6","11604","2013000594659"
16,,"6","11604","2013000594659"
20,,"3","11611","2013000599234"
23,,"6","11604","2013000619844"
23,,"3","11611","2013000640932"
19,,"6","11611","2013000691997"
20,,"6","11614","2013000696675"
21,,"6","11614","2013000879280"
23,,"6","11611","2013000766280"
22,,"3","11613","2013000798706"
24,,"6","11604","2013000800696"
19,,"3","11610","2013000745367"
21,,"6","11611","2013000774620"
19,,"3","11614","2013000785361"
23,,"6","11611","2013000795240"
24,,"3","11613","2013000950917"
20,,"6","11604","2013000887259"
22,,"6","11613","2013000926030"
24,,"6","11612","2013000941965"
17,,"6","11614","2013000916904"
23,,"6","11611","2013000961902"
22,,"6","11611","2013000960556"
19,,"6","11604","2013001074721"
20,,"6","11611","2013000975708"
21,,"6","11611","2013000975708"
18,,"3","11611","2013001071031"
18,,"6","11610","2013001132107"
22,,"3","11610","2013001103945"
