"agep","esr","puma","schl"
23,"4","11611","18"
24,"2","11604","19"
24,"2","11604","14"
21,"1","11614","19"
24,"1","11614","12"
22,"1","11613","14"
24,"1","11613","18"
21,"1","11614","14"
18,"1","11613","15"
22,"1","11614","18"
22,"1","11613","19"
20,"1","11611","13"
24,"1","11611","19"
23,"1","11611","18"
22,"1","11611","18"
20,"1","11613","18"
23,"1","11604","13"
24,"1","11614","19"
18,"1","11614","14"
23,"1","11604","19"
22,"1","11604","19"
19,"1","11604","14"
21,"1","11613","18"
22,"1","11613","14"
23,"1","11610","19"
20,"1","11611","15"
23,"1","11611","18"
21,"1","11610","18"
23,"1","11612","11"
24,"1","11614","15"
24,"1","11604","18"
22,"1","11611","18"
24,"1","11611","14"
20,"2","11613","18"
21,"1","11613","19"
22,"1","11610","18"
23,"1","11613","19"
23,"1","11613","19"
22,"1","11613","09"
24,"1","11610","19"
22,"1","11612","19"
20,"1","11613","19"
24,"1","11613","19"
24,"1","11612","19"
21,"1","11613","18"
20,"1","11610","18"
21,"1","11610","18"
23,"1","11611","19"
20,"1","11612","15"
22,"1","11612","19"
18,"1","11610","14"
22,"2","11610","13"
22,"1","11611","01"
23,"1","11611","15"
22,"1","11611","19"
22,"1","11614","12"
23,"1","11611","19"
24,"1","11612","18"
23,"1","11612","19"
17,"1","11610","13"
22,"1","11611","18"
21,"1","11604","19"
20,"1","11604","18"
19,"1","11611","18"
24,"1","11614","19"
21,"1","11611","15"
21,"1","11614","18"
20,"1","11611","15"
20,"1","11612","19"
24,"1","11613","19"
22,"1","11604","19"
24,"1","11613","14"
21,"1","11611","15"
23,"1","11612","18"
22,"1","11611","12"
21,"1","11604","14"
21,"1","11614","15"
22,"1","11610","19"
23,"1","11611","08"
22,"1","11611","12"
24,"1","11611","18"
23,"1","11610","18"
22,"1","11604","19"
22,"1","11604","19"
22,"1","11604","14"
24,"1","11613","15"
24,"4","11611","14"
24,"1","11612","19"
24,"1","11604","19"
23,"1","11613","19"
20,"1","11613","19"
21,"1","11612","19"
20,"4","11613","18"
20,"1","11604","14"
24,"1","11613","18"
24,"1","11614","19"
20,"1","11614","14"
24,"1","11604","19"
24,"1","11614","15"
18,"1","11611","13"
24,"4","11611","19"
23,"1","11612","19"
19,"1","11612","13"
22,"1","11614","18"
22,"1","11613","19"
23,"1","11613","19"
23,"1","11614","19"
24,"1","11612","18"
20,"1","11611","14"
22,"1","11612","15"
24,"1","11613","19"
19,"1","11610","18"
23,"1","11614","19"
24,"1","11613","18"
24,"1","11612","15"
23,"1","11611","19"
23,"1","11611","19"
24,"1","11613","19"
22,"1","11612","18"
24,"1","11613","18"
22,"1","11610","19"
23,"1","11610","13"
23,"1","11612","19"
19,"1","11610","18"
22,"1","11611","18"
23,"1","11612","19"
22,"1","11613","18"
20,"1","11614","14"
23,"1","11613","19"
24,"1","11611","19"
24,"1","11613","19"
18,"1","11610","19"
24,"1","11613","18"
23,"1","11610","11"
21,"1","11604","19"
24,"1","11614","19"
21,"1","11614","18"
24,"1","11611","18"
23,"1","11614","18"
20,"1","11612","19"
22,"1","11614","19"
21,"1","11604","19"
24,"1","11614","13"
23,"1","11614","18"
20,"1","11614","18"
23,"1","11612","05"
20,"1","11611","14"
18,"1","11614","15"
19,"1","11614","15"
24,"1","11613","15"
22,"1","11614","18"
24,"1","11604","18"
22,"1","11610","14"
22,"1","11612","18"
21,"1","11613","08"
19,"1","11613","18"
24,"1","11604","15"
24,"1","11610","19"
24,"1","11613","18"
23,"1","11611","19"
24,"1","11610","19"
23,"1","11614","18"
22,"1","11610","18"
19,"1","11604","13"
22,"1","11610","19"
24,"1","11614","15"
24,"1","11610","18"
22,"1","11613","18"
22,"1","11613","19"
22,"1","11613","19"
24,"1","11613","19"
18,"1","11613","12"
23,"1","11613","11"
16,"1","11613","12"
21,"1","11614","19"
21,"1","11614","19"
21,"1","11610","18"
21,"1","11610","18"
24,"1","11613","19"
23,"2","11614","13"
22,"1","11610","19"
22,"4","11612","18"
22,"1","11610","15"
21,"1","11614","14"
22,"2","11604","19"
19,"1","11604","19"
24,"2","11613","19"
23,"1","11613","10"
22,"1","11614","19"
24,"1","11611","19"
21,"1","11613","13"
19,"1","11613","19"
20,"1","11611","19"
24,"1","11612","19"
18,"1","11612","13"
24,"1","11612","19"
23,"1","11611","01"
21,"1","11611","01"
20,"1","11610","18"
20,"1","11614","12"
24,"1","11610","18"
22,"1","11610","19"
23,"1","11612","18"
24,"1","11612","19"
24,"1","11604","19"
20,"1","11612","18"
22,"1","11614","19"
23,"1","11611","14"
19,"1","11613","19"
20,"1","11614","19"
22,"1","11611","18"
23,"1","11604","19"
23,"1","11604","18"
23,"1","11613","15"
19,"2","11614","15"
24,"1","11610","18"
22,"1","11612","19"
20,"1","11614","19"
22,"1","11610","19"
21,"1","11613","12"
23,"1","11614","13"
24,"1","11614","19"
23,"1","11612","19"
19,"1","11614","13"
24,"1","11604","19"
21,"1","11611","19"
20,"1","11604","19"
23,"1","11613","01"
21,"1","11612","19"
22,"1","11604","19"
21,"1","11613","19"
19,"1","11604","18"
21,"1","11604","19"
24,"2","11613","19"
18,"1","11613","11"
21,"1","11611","15"
24,"1","11610","19"
24,"1","11610","19"
21,"1","11612","18"
24,"1","11614","18"
23,"1","11614","14"
20,"1","11614","15"
24,"1","11604","18"
20,"1","11611","19"
24,"1","11604","19"
21,"1","11604","14"
16,"1","11611","13"
21,"1","11611","19"
24,"1","11611","19"
18,"1","11614","19"
21,"1","11612","19"
21,"1","11611","19"
21,"1","11604","19"
23,"1","11611","18"
24,"1","11614","19"
21,"2","11614","19"
23,"1","11610","19"
23,"1","11614","19"
22,"1","11614","18"
22,"1","11611","13"
24,"1","11611","18"
23,"2","11604","19"
22,"1","11611","19"
21,"1","11614","18"
23,"1","11614","19"
22,"1","11611","19"
24,"1","11604","19"
21,"1","11611","15"
20,"1","11611","15"
18,"1","11611","13"
23,"1","11614","18"
16,"1","11611","19"
22,"1","11614","12"
20,"1","11611","09"
22,"1","11611","19"
22,"1","11613","18"
21,"1","11611","18"
23,"1","11613","12"
21,"1","11614","01"
24,"1","11604","18"
23,"1","11610","18"
24,"1","11604","19"
23,"1","11610","18"
24,"1","11611","19"
22,"1","11612","19"
23,"1","11612","19"
22,"1","11610","19"
24,"1","11614","13"
23,"1","11611","19"
20,"1","11614","18"
23,"1","11614","18"
20,"1","11614","15"
23,"1","11610","12"
23,"1","11611","18"
23,"1","11611","18"
21,"2","11613","19"
19,"1","11613","19"
22,"1","11614","14"
22,"1","11610","19"
24,"1","11611","19"
23,"1","11610","14"
20,"1","11613","13"
23,"1","11611","19"
24,"1","11611","19"
18,"1","11613","18"
24,"1","11610","19"
20,"1","11612","19"
24,"1","11612","19"
23,"1","11612","19"
20,"1","11610","19"
23,"1","11613","19"
23,"1","11612","18"
20,"1","11613","19"
23,"1","11604","19"
24,"1","11614","12"
21,"1","11610","18"
20,"1","11610","19"
24,"1","11614","15"
21,"1","11610","19"
23,"1","11610","19"
24,"1","11610","18"
23,"1","11614","15"
24,"1","11610","19"
19,"1","11610","18"
23,"1","11610","13"
20,"1","11614","14"
24,"1","11613","19"
24,"1","11610","18"
23,"1","11611","18"
24,"1","11610","19"
22,"1","11604","18"
23,"1","11604","18"
21,"1","11613","15"
23,"1","11613","19"
19,"1","11613","13"
22,"4","11613","19"
19,"1","11611","14"
21,"1","11613","12"
21,"1","11611","13"
20,"1","11611","14"
19,"1","11614","14"
17,"1","11610","12"
21,"1","11612","18"
23,"1","11614","19"
23,"1","11614","15"
21,"1","11613","19"
19,"2","11612","18"
22,"2","11612","01"
23,"1","11614","18"
22,"1","11614","14"
23,"1","11611","15"
21,"1","11612","18"
23,"1","11613","19"
23,"1","11610","19"
19,"1","11610","15"
22,"1","11612","19"
23,"1","11613","01"
21,"1","11612","19"
24,"1","11612","19"
22,"1","11613","18"
22,"1","11614","18"
20,"1","11612","18"
22,"1","11611","19"
22,"1","11611","14"
23,"4","11613","06"
24,"1","11613","19"
18,"1","11612","19"
24,"1","11612","19"
18,"1","11611","15"
22,"1","11610","18"
22,"1","11613","19"
19,"1","11612","15"
23,"1","11612","13"
21,"1","11612","14"
22,"1","11613","19"
24,"1","11614","19"
24,"1","11611","18"
23,"1","11611","19"
20,"1","11614","19"
21,"1","11614","18"
19,"1","11604","14"
20,"1","11614","19"
21,"1","11611","14"
23,"1","11610","19"
