"agep","schg","esr","puma"
18,,"1","11613"
18,,"1","11613"
18,,"1","11612"
18,,"1","11614"
18,,"1","11610"
18,,"1","11612"
18,,"1","11610"
18,,"1","11612"
18,,"1","11613"
17,,"1","11610"
18,,"1","11612"
18,,"1","11611"
18,,"1","11614"
18,,"1","11611"
18,,"1","11613"
17,,"1","11612"
18,,"1","11610"
18,,"1","11610"
18,,"1","11613"
18,,"1","11614"
18,,"1","11613"
16,,"1","11613"
18,,"1","11613"
18,,"1","11604"
18,,"1","11610"
18,,"1","11614"
18,,"1","11610"
18,,"1","11612"
18,,"1","11614"
18,,"1","11613"
18,,"1","11614"
16,,"1","11611"
16,,"1","11611"
18,,"1","11611"
18,,"1","11612"
18,,"1","11612"
18,,"1","11612"
18,,"1","11613"
18,,"1","11613"
18,,"1","11611"
18,,"1","11613"
17,,"1","11610"
18,,"1","11604"
18,,"1","11612"
18,,"1","11611"
