"agep","schg","esr","puma"
16,"12","1","11612"
16,"12","1","11614"
18,"13","1","11612"
18,"13","1","11612"
18,"15","1","11612"
18,"15","1","11604"
18,"15","1","11614"
17,"14","1","11613"
18,"15","1","11614"
17,"13","1","11610"
17,"15","1","11610"
18,"14","1","11604"
18,"15","1","11604"
16,"13","1","11611"
18,"15","1","11614"
17,"13","1","11614"
18,"14","1","11614"
17,"14","1","11611"
16,"13","1","11604"
16,"12","1","11611"
17,"13","1","11613"
17,"14","1","11614"
18,"15","2","11610"
17,"14","1","11610"
17,"12","1","11610"
18,"15","1","11612"
18,"14","1","11614"
18,"15","1","11610"
18,"14","1","11612"
16,"13","1","11612"
18,"15","1","11611"
17,"14","1","11611"
17,"14","1","11611"
18,"14","2","11611"
17,"14","1","11611"
18,"14","1","11611"
18,"15","1","11613"
17,"13","1","11611"
18,"14","1","11604"
18,"14","1","11610"
17,"14","1","11613"
17,"14","1","11612"
17,"14","1","11612"
18,"14","1","11613"
17,"15","1","11613"
17,"15","1","11613"
17,"13","1","11610"
17,"13","1","11612"
18,"15","1","11614"
16,"13","1","11612"
18,"14","1","11610"
17,"14","1","11604"
17,"14","1","11613"
18,"15","1","11614"
16,"12","1","11613"
16,"12","1","11611"
18,"15","1","11613"
17,"13","1","11604"
18,"14","1","11614"
18,"14","1","11613"
17,"14","1","11614"
17,"13","1","11610"
18,"14","1","11612"
18,"15","1","11604"
17,"15","1","11610"
17,"13","1","11614"
18,"15","2","11604"
18,"14","1","11613"
17,"14","1","11611"
17,"14","1","11604"
17,"15","1","11610"
17,"15","1","11613"
18,"14","1","11610"
18,"15","1","11604"
18,"14","1","11612"
18,"14","1","11612"
18,"13","1","11613"
17,"13","1","11610"
17,"13","1","11604"
18,"15","1","11612"
17,"14","1","11611"
18,"14","1","11611"
18,"15","1","11610"
16,"13","1","11610"
16,"13","1","11610"
18,"15","1","11614"
17,"13","1","11610"
16,"12","1","11611"
18,"14","1","11610"
16,"12","1","11604"
17,"13","1","11612"
18,"15","1","11613"
16,"13","1","11613"
18,"15","1","11613"
18,"14","1","11613"
17,"13","1","11613"
17,"14","1","11614"
17,"14","1","11614"
16,"13","1","11612"
17,"13","1","11613"
16,"13","2","11611"
16,"13","1","11611"
18,"15","1","11611"
18,"14","1","11612"
18,"15","1","11612"
16,"12","1","11614"
18,"15","1","11614"
18,"15","1","11604"
18,"15","1","11604"
18,"15","1","11613"
17,"14","1","11610"
17,"14","1","11613"
18,"14","1","11611"
18,"14","1","11613"
16,"13","1","11612"
18,"15","1","11614"
18,"15","1","11604"
18,"15","2","11604"
18,"13","1","11614"
16,"12","1","11614"
18,"14","1","11610"
18,"15","1","11611"
17,"14","1","11614"
17,"14","1","11604"
18,"15","1","11613"
18,"14","1","11612"
18,"15","1","11614"
16,"13","1","11610"
18,"15","1","11611"
17,"13","1","11613"
18,"15","1","11604"
17,"14","1","11613"
16,"13","1","11613"
16,"13","1","11614"
17,"14","1","11614"
17,"13","1","11613"
16,"13","1","11610"
18,"14","1","11611"
18,"14","1","11604"
17,"14","1","11611"
18,"14","1","11610"
16,"12","1","11614"
16,"13","2","11613"
16,"12","1","11610"
17,"13","1","11604"
18,"15","1","11604"
16,"13","1","11610"
17,"13","1","11613"
18,"13","1","11612"
18,"13","1","11614"
16,"13","2","11611"
16,"12","1","11614"
18,"15","1","11611"
17,"14","1","11613"
17,"14","1","11611"
17,"13","1","11611"
17,"14","2","11614"
17,"13","1","11611"
18,"14","1","11614"
17,"13","1","11611"
18,"14","1","11613"
18,"14","1","11613"
16,"12","1","11612"
18,"14","1","11610"
16,"13","1","11613"
18,"14","1","11610"
16,"12","1","11614"
16,"12","1","11613"
17,"14","1","11612"
17,"14","1","11614"
18,"14","1","11610"
18,"15","1","11612"
18,"14","1","11613"
18,"15","1","11614"
18,"14","1","11614"
16,"12","1","11604"
18,"14","1","11604"
17,"13","1","11604"
17,"13","1","11604"
17,"15","1","11611"
16,"12","1","11613"
18,"15","1","11610"
17,"14","1","11612"
16,"12","1","11611"
18,"14","1","11613"
18,"15","1","11611"
17,"14","1","11604"
18,"14","1","11611"
18,"14","1","11612"
16,"13","1","11610"
16,"13","1","11604"
18,"14","1","11610"
18,"14","1","11611"
17,"14","1","11614"
17,"15","1","11614"
17,"13","1","11613"
18,"14","2","11612"
18,"14","1","11611"
18,"14","1","11611"
16,"12","1","11614"
16,"13","1","11611"
17,"14","2","11612"
18,"15","1","11611"
18,"14","1","11612"
16,"12","1","11604"
16,"13","1","11611"
18,"14","1","11614"
16,"13","1","11614"
17,"13","1","11610"
18,"15","1","11604"
17,"14","1","11613"
17,"14","1","11614"
18,"14","1","11610"
17,"14","1","11613"
17,"15","1","11610"
17,"13","1","11611"
18,"15","1","11604"
18,"15","1","11604"
